shapeid,MP,Constituency,Region,Party,MP's Religion,Denomination,Lat,Long,Dominant Religion
1,Kobina Tahir Hammond,Adansi Asokwa,Ashanti Region,NPP,Islam,,6.184581837,-1.435181597,Christian
2,Nana Marfo Amaniampong,Afigya Kwabre North,Ashanti Region,NPP,Christian,Baptist,6.989100871,-1.611305394,Christian
3,William Owuraku Aidoo,Afigya Kwabre South,Ashanti Region,NPP,Christian,Catholic,6.808038536,-1.591580013,Christian
4,David Hennric Yeboah,Afigya Sekyere East,Ashanti Region,NPP,Christian,Calvary Charismatic Church,6.983888401,-1.506777731,Christian
5,Kwasi Adusei,Ahafo Ano North,Ashanti Region,NDC,Christian,Church of Pentecost,6.912121016,-2.201639978,Christian
6,Francis Manu-Adabor,Ahafo Ano South East,Ashanti Region,NPP,Christian,Catholic,6.943955965,-1.881938639,Christian
7,Johnson Kwaku Adu,Ahafo Ano South West,Ashanti Region,NPP,Christian,Church of Pentecost,6.890499004,-2.036892801,Christian
8,Kwabena Appiah-Pinkrah,Akrofuom,Ashanti Region,NPP,Christian,Methodist,6.113014484,-1.614606601,Christian
9,Kwame Anyimadu-Antwi,Asante Akim Central,Ashanti Region,NPP,Christian,Presbyterian,6.626616206,-1.207860103,Christian
10,Agyemang Kwadwo Baah,Asante Akim North,Ashanti Region,NPP,Christian,Resurrection Power Living Bread Christian Center,6.846473061,-0.977316997,Christian
11,Kwaku Asante-Boateng,Asante Akim South,Ashanti Region,NPP,Christian,Assemblies of God,6.490152152,-1.104718418,Christian
12,Mubarak Mohammed Muntaka (Alhaji),Asawase,Ashanti Region,NDC,Islam,,6.682698577,-1.589327239,Christian
13,Appiagyei Patricia,Asokwa,Ashanti Region,NPP,Christian,Catholic,6.64022228,-1.583681838,Christian
14,Kojo Appiah-Kubi (Dr),Atwima Kwanwoma,Ashanti Region,NPP,Christian,Catholic,6.592025185,-1.70056659,Christian
15,Isaac Kwame Asiamah,Atwima Mponua,Ashanti Region,NPP,Christian,Anglican,6.569152429,-2.166441788,Christian
16,Benito Owusu-Bio,Atwima Nwabiagya North,Ashanti Region,NPP,Christian,Anglican,6.872056188,-1.758244839,Christian
17,Anthony Boakye Osei,Atwima Nwabiagya South,Ashanti Region,NPP,Christian,Catholic,6.688509617,-1.821644729,Christian
18,Henry Kwabena Kokofu,Bantama,Ashanti Region,NPP,Christian,Anglican,6.733092818,-1.64152905,Christian
19,"Joseph Osei-Owusu,",Bekwai,Ashanti Region,NPP,Christian,Catholic,6.417357753,-1.607229717,Christian
20,Kwadwo Frimpong Kyei,Bosome Freho,Ashanti Region,NPP,Christian,Catholic,6.345706431,-1.355016382,Christian
21,Simon Osei-Mensah,Bosomtwe,Ashanti Region,NPP,Christian,Catholic,6.552244538,-1.46227578,Christian
22,Frank Boakye Agyen,Effiduase-Asokore,Ashanti Region,NPP,Christian,Presby,6.79347409,-1.29793305,Christian
23,Kwabena Owusu-Aduomi,Ejisu,Ashanti Region,NPP,Christian,Deeper Life Church,6.576205267,-1.330997969,Christian
24,Mohammed Salisu Bamba,Ejura Sekyedumase,Ashanti Region,NPP,Islam,,7.381656014,-1.428467906,Christian
25,Daniel Kingsley Atta Boafo,Fomena,Ashanti Region,NPP,Islam,,6.286162663,-1.551297346,Christian
26,Ama Pomaa Boateng,Juaben,Ashanti Region,NPP,Christian,Methodist,6.714796518,-1.394989467,Christian
27,Philip Basoah,Kumawu,Ashanti Region,NPP,Christian,Liberation Christian Centre,7.06598726,-0.955365645,Christian
28,Kofi Frimpong,Kwabre East,Ashanti Region,NPP,Christian,Seventh- Day Adventist,6.805026665,-1.492189642,Christian
29,Owusu Afriyie Akoto (Dr),Kwadaso,Ashanti Region,NPP,Christian,Catholic,6.733614637,-1.681974486,Christian
30,Francis Addai-Nimoh,Mampong,Ashanti Region,NPP,Christian,Methodist,7.14004524,-1.391123253,Islam
31,Collins Owusu Amankwah,Manhyia North,Ashanti Region,NPP,Christian,Faith Gospel Church,6.734936171,-1.535506521,Christian
32,Matthew Opoku Prempeh (Dr.),Manhyia South,Ashanti Region,NPP,Christian,Anglican,6.707659783,-1.532843545,Christian
33,Frimpong Yaw Addo,Manso Adubia,Ashanti Region,NPP,Christian,Catholic,6.459137704,-1.83398148,Christian
34,Grace Addo (Ms),Manso Nkwanta,Ashanti Region,NPP,Christian,Catholic,6.288603305,-1.98713527,Christian
35,Ernest kofi Yakah,New Edubiase,Ashanti Region,NDC,Christian,Assemblies of God,5.994919128,-1.360821077,Christian
36,Richard W. Anane (Dr),Nhyiaeso,Ashanti Region,NPP,Christian,Catholic,6.683660451,-1.672426446,Christian
37,Kwame Asafu-Adjei,Nsuta-Kwamang-Beposo,Ashanti Region,NPP,Christian,Presby,7.256379182,-1.112501352,Christian
38,"Edward M Ennin,",Obuasi East,Ashanti Region,NPP,Christian,Methodist,5.968633328,-1.606419891,Christian
39,Kwaku Agyeman Kwarteng,Obuasi West,Ashanti Region,NPP,Christian,Catholic,6.014607865,-1.725312138,Christian
40,Emmanuel Akwasi Gyamfi,Odotobiri,Ashanti Region,NPP,Christian,Catholic,6.195541793,-1.802281254,Christian
41,Augustine Collins Ntim,Offinso North,Ashanti Region,NPP,Christian,Methodist,7.331850478,-1.879662482,Christian
42,Ben Abdallah Banda,Offinso South,Ashanti Region,NPP,Islam,n/a,7.066527527,-1.727519806,Christian
43,Elizabeth Agyeman (Ms),Oforikrom,Ashanti Region,NPP,Christian,Catholic,6.662731748,-1.524993209,Christian
44,Anthony Akoto Osei (Dr),Old Tafo,Ashanti Region,NPP,Christian,Catholic,6.725970397,-1.602951814,Christian
45,Alex Adomako-Mensah,Sekyere Afram Plains,Ashanti Region,NDC,Christian,Presby,7.255133511,-0.569799843,Christian
46,"Osei Kyei-Mensah-Bonsu,",Suame,Ashanti Region,NPP,Christian,Assemblies of God,6.720180927,-1.566816321,Christian
47,Isaac Osei,Subin,Ashanti Region,NPP,Christian,Catholic,6.673290311,-1.63713807,Christian
48,Robert Sarfo-Mensah,Asunafo North,Brong Ahafo Region,NPP,Christian,Church of Pentecost,6.815676388,-2.694782877,Christian
49,Eric Opoku,Asunafo South,Brong Ahafo Region,NDC,Christian,,6.606945896,-2.515728976,Christian
50,Joseph Benhazin Dahah,Asutifi North,Brong Ahafo Region,NPP,Christian,Catholic,7.044517825,-2.513790792,Christian
51,Collins Dauda (Alhaji),Asutifi South,Brong Ahafo Region,NDC,Islam,,6.815874459,-2.384609756,Christian
52,Nanja Sanja,Atebubu-Amantin,Brong Ahafo Region,NDC,Christian,Assemblies of God,7.651305975,-1.050230071,Christian
53,Ahmed Ibrahim,Banda,Brong Ahafo Region,NDC,Christian,Church of Pentecost,8.391841445,-2.412139186,Christian
54,Dr. Kwabena Twum-Nuamah,Berekum East,Brong Ahafo Region,NPP,Christian,Methodist,7.529539326,-2.545384567,Christian
55,Kwaku Agyenim-Boateng,Berekum West,Brong Ahafo Region,NPP,Christian,Presby,7.443757758,-2.679778841,Christian
56,Kwaku Agyemang-Manu,Dormaa Central,Brong Ahafo Region,NPP,Christian,Methodist,7.163451517,-2.862423977,Christian
57,William Kwasi Sabi,Dormaa East,Brong Ahafo Region,NPP,Christian,Catholic,7.291691231,-2.715488216,Christian
58,Vincent Oppong Asamoah,Dormaa West,Brong Ahafo Region,NDC,Christian,Catholic,7.002156403,-2.942248732,Christian
59,Stevens Siaka,Jaman North,Brong Ahafo Region,NPP,Christian,Catholic,7.905900175,-2.646764322,Christian
60,Yaw Maama Afful,Jaman South,Brong Ahafo Region,NPP,Christian,Presby,7.647180799,-2.791605737,Christian
61,Stephen Kunsu,Kintampo North,Brong Ahafo Region,NDC,Christian,Presby,8.489426982,-1.536781241,Christian
62,Yaw Effah-Baafi,Kintampo South,Brong Ahafo Region,NDC,Christian,Church of Pentecost,8.029020719,-1.72007657,Christian
63,Derek Oduro (Maj. [Rtd]),Nkoranza North,Brong Ahafo Region,NPP,Christian,Seventh- Day Adventist,7.703449909,-1.519296854,Christian
64,Emmanuel Kwadwo Agyekum,Nkoranza South,Brong Ahafo Region,NDC,Christian,Seventh- Day Adventist,7.483137229,-1.654769065,Christian
65,Kwabena Donkor (Dr),Pru East,Brong Ahafo Region,NDC,Christian,ICGC,8.073868407,-0.881801208,Christian
66,Masawud Mohammed (Alhaji),Pru West,Brong Ahafo Region,NDC,Islam,,8.029351717,-1.274458263,Christian
67,Dominic Napare,Sene East,Brong Ahafo Region,NDC,Christian,Catholic,7.549318087,-0.145708831,Christian
68,Twumasi Kwame Ampofo,Sene West,Brong Ahafo Region,NDC,Christian,,7.777284018,-0.595786373,Christian
69,Kwasi Ameyaw-Cheremeh,Sunyani East,Brong Ahafo Region,NPP,Christian,Presby,7.236224009,-2.334608247,Christian
70,Ignatius Baffour Awuah,Sunyani West,Brong Ahafo Region,NPP,Christian,Catholic,7.41650891,-2.34606821,Christian
71,Kwasi Agyemang Gyan-Tutu,Tain,Brong Ahafo Region,NDC,Christian,Seventh- Day Adventist,7.889332539,-2.37730393,Christian
72,Freda Akosua Oheneafrewo Prempeh,Tano North,Brong Ahafo Region,NPP,Christian,Lighthouse Chapel International,7.200998796,-2.182649367,Christian
73,Hanna Louisa Bisiw (Dr.),Tano South,Brong Ahafo Region,NDC,Christian,Church of Pentecost,7.16316339,-2.018821859,Christian
74,Alex Kyeremeh,Techiman North,Brong Ahafo Region,NDC,Christian,Catholic,7.73190405,-1.947273011,Christian
75,Mensah Adjei,Techiman South,Brong Ahafo Region,NDC,Christian,Seventh- Day Adventist,7.527292298,-1.946894288,Christian
